election_id,voter_id,project_id
2,80837,731
2,80837,921
2,80837,2183
2,80837,192
2,80837,1889
2,80837,1827
2,80837,1347
2,80837,1187
2,4056,1211
2,4056,2141
2,4056,731
2,4056,433
2,4056,1187
2,30770,76
2,30770,433
2,30770,2083
2,30770,192
2,30770,193
2,30770,1905
2,30770,2121
2,30770,191
2,3882,1211
2,3882,433
2,3882,2109
2,3882,1905
2,3882,1187
2,3882,191
2,34625,1211
2,34625,921
2,34625,191
2,34625,1213
2,25279,1211
2,25279,2141
2,25279,76
2,25279,433
2,25279,2083
2,25279,192
2,25279,1889
2,25279,2220
2,25279,193
2,25279,1827
2,25279,2121
2,3396,1211
2,3396,2141
2,3396,731
2,3396,76
2,3396,1356
2,3396,2083
2,3396,192
2,3396,1889
2,3396,1827
2,3396,1347
2,3396,1187
2,3396,2074
2,645,1211
2,9388,2141
2,9388,433
2,9388,192
2,9388,193
2,9388,2092
2,9388,2121
2,9388,191
2,56432,1211
2,48876,1211
2,48876,731
2,48876,76
2,48876,2183
2,48876,433
2,48876,192
2,48876,1889
2,48876,193
2,48876,2109
2,48876,1347
2,48876,1905
2,9413,1211
2,9413,2141
2,9413,731
2,9413,76
2,9413,1356
2,9413,921
2,9413,2183
2,9413,2083
2,9413,1889
2,9413,1827
2,9413,1187
2,9413,2092
2,24184,1211
2,24184,731
2,24184,76
2,24184,2183
2,24184,433
2,24184,192
2,24184,193
2,24184,1347
2,24184,1187
2,24184,2092
2,24184,1213
2,3117,731
2,3117,1356
2,3117,921
2,28957,731
2,65366,2141
2,65366,76
2,65366,921
2,65366,2083
2,65366,1889
2,65366,2109
2,65366,1905
2,528,1211
2,528,2141
2,528,76
2,528,1356
2,528,921
2,528,433
2,528,2083
2,528,192
2,528,2220
2,528,2092
2,528,2121
2,36689,2141
2,36689,731
2,36689,921
2,36689,2183
2,36689,433
2,36689,2083
2,36689,192
2,36689,2220
2,36689,193
2,36689,1827
2,36689,2109
2,36689,1347
2,36689,2074
2,36689,2121
2,42795,76
2,42795,2083
2,42795,1889
2,42795,2220
2,42795,2109
2,42795,1905
2,25991,731
2,25991,1356
2,25991,921
2,25991,2183
2,25991,1889
2,25991,2220
2,25991,1827
2,25991,2109
2,25991,1905
2,25991,1187
2,25991,2121
2,25991,1213
2,31520,731
2,31520,921
2,31520,2183
2,31520,433
2,31520,2220
2,31520,1827
2,31520,1347
2,49020,1211
2,30373,2141
2,30373,731
2,30373,1356
2,30373,921
2,30373,2183
2,30373,433
2,30373,2083
2,30373,1889
2,30373,2220
2,30373,1905
2,30373,1187
2,30373,2092
2,42934,921
2,42934,2083
2,42934,192
2,42934,1889
2,42934,2220
2,42934,193
2,42934,2092
2,42934,2074
2,46240,2141
2,46240,731
2,46240,76
2,46240,1356
2,46240,921
2,46240,2183
2,46240,2083
2,46240,192
2,46240,1889
2,46240,2220
2,46240,193
2,46240,1827
2,46240,2109
2,46240,1905
2,46240,2092
2,46240,2074
2,46240,2121
2,44912,731
2,44912,76
2,44912,921
2,44912,2109
2,44912,1213
2,60441,433
2,13639,1211
2,13639,2141
2,13639,2183
2,13639,433
2,13639,193
2,13639,2109
2,13639,2074
2,13639,2121
2,28225,2141
2,28225,192
2,50746,1211
2,50746,2141
2,50746,731
2,50746,2183
2,50746,433
2,50746,2083
2,50746,2109
2,50746,2092
2,50746,2074
2,86478,1211
2,86478,731
2,86478,1356
2,86478,921
2,86478,1213
2,27740,1211
2,27740,2141
2,27740,731
2,27740,921
2,27740,2183
2,27740,2083
2,27740,192
2,27740,2109
2,27740,1187
2,4714,2141
2,4714,731
2,4714,1356
2,4714,921
2,4714,2183
2,4714,192
2,4714,193
2,4714,1347
2,4714,191
2,37241,1211
2,37241,2141
2,37241,731
2,37241,76
2,37241,1356
2,37241,921
2,37241,2183
2,37241,2083
2,37241,192
2,37241,1889
2,37241,2220
2,37241,1827
2,37241,1347
2,37241,1905
2,37241,2092
2,37241,191
2,62686,433
2,62686,192
2,62686,2121
2,62686,191
2,83447,2141
2,83447,731
2,83447,1356
2,83447,192
2,83447,193
2,83447,2092
2,83447,2121
2,16950,1211
2,16950,2141
2,16950,731
2,16950,76
2,16950,1356
2,16950,921
2,16950,2183
2,16950,2083
2,16950,192
2,16950,1889
2,16950,193
2,16950,1827
2,16950,1347
2,16950,1905
2,16950,2092
2,16950,2074
2,16950,191
2,19129,1211
2,74123,1211
2,74123,2141
2,74123,731
2,74123,2220
2,74123,2109
2,74123,1187
2,24143,1211
2,24143,2141
2,24143,731
2,24143,1356
2,24143,921
2,24143,2183
2,24143,433
2,24143,1187
2,41888,1211
2,41888,433
2,57329,2141
2,57329,731
2,24238,1211
2,24238,2141
2,24238,731
2,24238,1356
2,24238,921
2,24238,2083
2,24238,1827
2,24238,1905
2,32443,2109
2,85329,1211
2,85329,2141
2,85329,731
2,85329,76
2,85329,1356
2,85329,921
2,85329,2083
2,85329,192
2,85329,1889
2,85329,2220
2,85329,193
2,85329,1827
2,85329,1905
2,85329,2092
2,85329,2074
2,85329,191
2,37430,1211
2,37430,76
2,37430,1356
2,37430,2183
2,37430,1187
2,63051,193
2,63051,2121
2,3799,1211
2,3799,2141
2,3799,76
2,3799,1347
2,3799,1905
2,28893,1211
2,28893,2141
2,28893,731
2,28893,76
2,28893,1356
2,28893,2183
2,28893,2083
2,28893,1889
2,28893,2220
2,28893,193
2,28893,1905
2,28893,1187
2,28893,2092
2,28893,2074
2,28893,191
2,75624,1211
2,75624,731
2,75624,2183
2,75624,433
2,75624,2109
2,75624,1187
2,35803,1211
2,35803,2141
2,35803,76
2,35803,921
2,35803,2183
2,35803,192
2,35803,2109
2,35803,1347
2,35803,2092
2,35803,2121
2,57125,1211
2,57125,2141
2,57125,76
2,57125,921
2,57125,2183
2,57125,433
2,57125,192
2,57125,1889
2,57125,2220
2,57125,1347
2,57125,1905
2,57125,2121
2,20051,1211
2,20051,2141
2,20051,731
2,66108,1211
2,66108,2141
2,66108,76
2,66108,921
2,66108,2183
2,66108,433
2,66108,2083
2,66108,192
2,66108,1347
2,66108,1905
2,66108,1187
2,66108,2074
2,81211,1211
2,81211,2141
2,81211,731
2,81211,76
2,81211,1356
2,81211,921
2,81211,2183
2,81211,2083
2,81211,192
2,81211,1889
2,81211,2220
2,81211,193
2,81211,1827
2,81211,1347
2,81211,1905
2,81211,2092
2,81211,2074
2,43812,76
2,67244,2141
2,67244,2183
2,67244,2083
2,67244,1889
2,67244,2220
2,67244,1827
2,67244,2109
2,67244,1347
2,67244,1905
2,67244,2074
2,67244,2121
2,22539,1211
2,22539,1356
2,46783,1211
2,46783,2141
2,46783,731
2,46783,1356
2,46783,921
2,46783,2183
2,46783,2083
2,46783,1889
2,46783,2220
2,46783,193
2,46783,1827
2,46783,1187
2,46783,2092
2,21162,2141
2,21162,731
2,21162,76
2,21162,1356
2,21162,921
2,21162,2183
2,21162,2083
2,21162,192
2,21162,1889
2,21162,2220
2,21162,193
2,21162,1827
2,21162,1347
2,21162,1905
2,21162,2121
2,1416,1211
2,1416,1356
2,1416,921
2,1416,1187
2,502,2141
2,502,731
2,502,76
2,502,1356
2,502,921
2,502,2183
2,502,2083
2,502,192
2,502,1889
2,502,2220
2,502,2109
2,502,1347
2,502,2092
2,502,2074
2,502,2121
2,33037,2141
2,33037,1356
2,33037,192
2,48230,1211
2,56526,1211
2,56526,2141
2,56526,731
2,56526,921
2,56526,2183
2,56526,433
2,56526,2083
2,56526,193
2,56526,2109
2,82539,2141
2,82539,731
2,82539,76
2,82539,1356
2,82539,2183
2,82539,2083
2,82539,192
2,82539,1889
2,82539,2220
2,82539,1827
2,82539,1347
2,82539,1905
2,82539,2092
2,82539,2074
2,79434,2141
2,79434,76
2,79434,921
2,79434,2183
2,79434,433
2,79434,2083
2,79434,1889
2,79434,193
2,79434,2109
2,79434,1187
2,79434,2092
2,79434,2121
2,31972,1211
2,31972,2141
2,31972,731
2,31972,1356
2,31972,921
2,31972,2183
2,31972,2083
2,31972,1889
2,31972,2220
2,31972,2109
2,31972,2092
2,72257,2141
2,72257,731
2,72257,76
2,72257,1356
2,72257,921
2,72257,2183
2,72257,2083
2,72257,192
2,72257,1889
2,72257,2220
2,72257,193
2,72257,1827
2,72257,2109
2,72257,1347
2,72257,1905
2,72257,2092
2,72257,2074
2,72257,191
2,63437,2141
2,63437,2109
2,3300,1211
2,3300,2141
2,3300,731
2,3300,1356
2,3300,921
2,3300,2183
2,3300,2083
2,3300,192
2,3300,1889
2,3300,193
2,3300,1827
2,3300,1347
2,3300,1187
2,3300,2074
2,25747,2141
2,25747,731
2,25747,1356
2,25747,433
2,25747,192
2,25747,1827
2,25747,2109
2,35160,921
2,45589,1211
2,45589,2141
2,45589,76
2,45589,2183
2,45589,433
2,45589,2083
2,45589,192
2,45589,1889
2,45589,193
2,45589,1347
2,45589,1905
2,45589,2092
2,45589,2074
2,45589,2121
2,45589,191
2,65373,1211
2,65373,731
2,65373,76
2,65373,1356
2,65373,192
2,65373,1889
2,65373,2109
2,65373,1347
2,65373,1905
2,65373,2074
2,65373,2121
2,11869,192
2,11869,193
2,11869,191
2,9487,1211
2,9487,2141
2,9487,731
2,9487,76
2,9487,1356
2,9487,921
2,9487,2183
2,9487,2083
2,9487,192
2,9487,1889
2,9487,2220
2,9487,193
2,9487,1827
2,9487,1347
2,9487,1905
2,9487,2092
2,9487,2074
2,19536,1211
2,19536,2141
2,19536,76
2,19536,433
2,19536,193
2,19536,1905
2,19536,1187
2,19536,2121
2,42760,76
2,42760,2083
2,42760,193
2,42760,1905
2,42760,1187
2,47849,1211
2,47849,2141
2,47849,731
2,47849,1356
2,47849,2183
2,47849,1889
2,47849,1827
2,47849,2109
2,47849,1347
2,47849,2074
2,77485,731
2,77485,1356
2,77485,921
2,77485,2183
2,77485,1889
2,77485,2220
2,77485,1827
2,77485,2109
2,77485,1187
2,77485,2092
2,77485,2121
2,77485,1213
2,19421,76
2,19421,921
2,19421,192
2,19421,1889
2,19421,2109
2,19421,1347
2,19421,1187
2,19421,2092
2,19421,2074
2,19421,191
2,17409,1211
2,17409,2141
2,17409,731
2,17409,76
2,17409,1356
2,17409,921
2,17409,2183
2,17409,2083
2,17409,192
2,17409,193
2,17409,1347
2,17409,1905
2,17409,1187
2,17409,2092
2,17409,2074
2,25435,1211
2,25435,2141
2,25435,76
2,25435,1356
2,25435,2109
2,25435,1347
2,41351,1211
2,41351,2141
2,41351,731
2,41351,76
2,41351,1356
2,41351,2083
2,41351,1889
2,41351,2220
2,41351,1827
2,41351,1905
2,41351,1187
2,14906,2141
2,14906,731
2,14906,76
2,14906,921
2,14906,2183
2,14906,433
2,14906,2083
2,14906,1889
2,14906,2220
2,14906,1827
2,14906,2109
2,14906,1905
2,14906,2092
2,14906,191
2,49625,76
2,49625,192
2,49625,193
2,49625,1827
2,49625,2109
2,49625,2074
2,56671,1211
2,51941,76
2,51941,2220
2,51941,1827
2,21941,1211
2,21941,2141
2,21941,731
2,21941,921
2,21941,2183
2,21941,433
2,21941,2220
2,21941,193
2,21941,1187
2,21941,2074
2,21941,191
2,53840,1211
2,53840,2141
2,53840,76
2,53840,2183
2,53840,433
2,53840,2083
2,53840,192
2,53840,2220
2,53840,1827
2,53840,1905
2,53840,2121
2,79563,1211
2,79563,731
2,79563,76
2,79563,1356
2,79563,2183
2,79563,192
2,79563,1889
2,79563,193
2,79563,2109
2,79563,1905
2,79563,1187
2,87105,1211
2,87105,2141
2,87105,76
2,87105,1827
2,87105,2092
2,19945,1211
2,19945,2141
2,19945,1356
2,19945,921
2,19945,2183
2,19945,433
2,19945,2083
2,19945,192
2,19945,193
2,19945,1347
2,19945,2092
2,19945,2074
2,19945,191
2,19945,1213
2,40703,731
2,40703,76
2,41555,1211
2,41555,2141
2,41555,76
2,41555,2183
2,41555,192
2,41555,1889
2,41555,1827
2,41555,2109
2,41555,1347
2,41555,1905
2,41555,2092
2,29785,433
2,29785,191
2,47859,1211
2,47859,2141
2,47859,731
2,47859,76
2,47859,1356
2,47859,921
2,47859,2109
2,47859,2092
2,61497,1211
2,61497,2141
2,61497,731
2,61497,76
2,61497,1356
2,61497,921
2,61497,2083
2,61497,1827
2,61497,1905
2,61497,2092
2,85654,1211
2,85654,731
2,85654,1356
2,85654,1213
2,50405,1211
2,50405,2141
2,50405,731
2,50405,76
2,50405,1356
2,50405,921
2,50405,2183
2,50405,192
2,50405,1889
2,50405,193
2,50405,1827
2,50405,1347
2,50405,1905
2,50405,2074
2,50405,2121
2,13684,2141
2,13684,731
2,13684,1356
2,13684,921
2,13684,2083
2,13684,193
2,13684,2121
2,54933,2141
2,54933,731
2,54933,76
2,54933,1356
2,54933,921
2,54933,2183
2,54933,2083
2,54933,192
2,54933,1889
2,54933,193
2,54933,1827
2,54933,2109
2,54933,1347
2,54933,1905
2,54933,2092
2,54933,2074
2,54933,2121
2,19285,2141
2,19285,731
2,19285,76
2,19285,1356
2,19285,921
2,19285,2183
2,19285,2083
2,19285,192
2,19285,1889
2,19285,2220
2,19285,193
2,19285,1827
2,19285,2109
2,19285,1347
2,19285,2092
2,19285,2074
2,19285,2121
2,64104,1211
2,64104,731
2,64104,1356
2,64104,433
2,64104,1827
2,64104,1187
2,64104,2074
2,64104,1213
2,63632,433
2,63632,192
2,63632,2121
2,15795,2141
2,15795,731
2,15795,1356
2,15795,2183
2,15795,2083
2,15795,1827
2,15795,2109
2,15795,1187
2,15795,2074
2,15795,2121
2,15795,1213
2,25399,1211
2,25399,2141
2,25399,76
2,25399,921
2,25399,2183
2,25399,2083
2,25399,2220
2,25399,2109
2,25399,1347
2,25399,1905
2,25556,1211
2,25556,731
2,25556,76
2,25556,1356
2,25556,2183
2,25556,433
2,25556,192
2,25556,193
2,25556,1827
2,25556,1347
2,25556,2074
2,25556,2121
2,25556,191
2,36606,1211
2,36606,731
2,36606,76
2,36606,921
2,36606,2183
2,36606,433
2,36606,1889
2,36606,193
2,36606,1187
2,36606,2092
2,36606,1213
2,77273,1211
2,77273,76
2,77273,433
2,77273,192
2,77273,2074
2,57563,1211
2,57563,2141
2,57563,731
2,57563,76
2,57563,921
2,57563,2183
2,57563,433
2,57563,192
2,57563,1347
2,57563,1905
2,57563,2121
2,33608,1211
2,33608,2141
2,33608,76
2,33608,921
2,33608,433
2,33608,1187
2,33608,1213
2,60291,1211
2,60291,2141
2,60291,731
2,60291,1356
2,60291,1827
2,25295,1211
2,25295,433
2,25295,192
2,25295,2220
2,25295,193
2,25295,2109
2,25295,1905
2,25295,2121
2,41660,731
2,41660,1827
2,41660,1187
2,41660,1213
2,40165,1211
2,40165,2141
2,40165,731
2,40165,76
2,40165,1356
2,40165,921
2,40165,2183
2,40165,433
2,40165,2220
2,40165,1827
2,40165,2074
2,42993,1211
2,42993,2141
2,42993,76
2,42993,1356
2,42993,921
2,42993,2183
2,42993,2083
2,42993,1889
2,42993,2220
2,42993,193
2,42993,1827
2,42993,1187
2,42993,2092
2,41320,2141
2,41320,731
2,41320,76
2,41320,921
2,41320,2183
2,41320,2083
2,41320,192
2,41320,1889
2,41320,2220
2,41320,193
2,41320,1827
2,41320,2109
2,41320,1347
2,41320,1905
2,41320,2092
2,41320,2074
2,41320,2121
2,41320,191
2,22867,433
2,50766,2141
2,50766,1356
2,50766,921
2,50766,2183
2,50766,2083
2,50766,1889
2,50766,2220
2,50766,1827
2,50766,2109
2,50766,1347
2,50766,1905
2,50766,2074
2,50766,2121
2,82196,731
2,82196,1356
2,82196,192
2,82196,2220
2,82196,193
2,82196,1827
2,82196,1187
2,82196,2121
2,82196,191
2,37217,1211
2,48404,1211
2,48404,76
2,48404,1356
2,48404,921
2,48404,1889
2,48404,2109
2,48404,1905
2,48404,1187
2,43778,1211
2,43778,731
2,43778,921
2,43778,1889
2,43778,2220
2,43778,193
2,43778,1827
2,43778,2109
2,43778,1347
2,43778,1905
2,43778,2092
2,43778,191
2,72431,2141
2,72431,76
2,72431,1356
2,72431,921
2,72431,2183
2,72431,2083
2,72431,1889
2,72431,2220
2,72431,193
2,72431,1827
2,72431,2109
2,72431,1347
2,72431,1905
2,72431,1187
2,72431,2092
2,72431,2074
2,78407,2141
2,78407,731
2,78407,76
2,78407,1356
2,78407,921
2,78407,2183
2,78407,433
2,78407,2083
2,78407,192
2,78407,1889
2,78407,2220
2,78407,193
2,78407,1827
2,78407,1347
2,78407,1905
2,78407,2092
2,78407,2074
2,78407,2121
2,78407,191
2,36988,2141
2,36988,731
2,36988,76
2,36988,1356
2,36988,921
2,36988,2183
2,36988,2083
2,36988,1889
2,36988,2220
2,36988,1827
2,36988,2109
2,36988,1905
2,36988,1187
2,36988,2074
2,78899,2141
2,78899,1356
2,78899,921
2,78899,2183
2,78899,433
2,78899,2083
2,78899,192
2,78899,193
2,78899,2109
2,78899,1187
2,78899,2092
2,78899,2074
2,78899,2121
2,55195,1211
2,55195,2141
2,55195,731
2,55195,76
2,55195,2183
2,55195,433
2,55195,2083
2,55195,192
2,55195,1347
2,55195,1187
2,55195,2074
2,56157,1211
2,56157,2141
2,56157,2183
2,56157,433
2,56157,2083
2,56157,192
2,56157,193
2,56157,1827
2,56157,2121
2,56157,191
2,56157,1213
2,33963,433
2,33963,192
2,33963,193
2,33963,191
2,47670,2141
2,47670,731
2,47670,1356
2,47670,921
2,47670,2183
2,47670,433
2,47670,192
2,47670,1889
2,47670,2220
2,47670,193
2,47670,1827
2,47670,1905
2,47670,1187
2,47670,2092
2,47670,2074
2,47670,1213
2,28124,1211
2,28124,76
2,28124,193
2,28124,1347
2,28254,2220
2,28254,2109
2,28254,1213
2,84700,2141
2,84700,731
2,84700,76
2,84700,1356
2,84700,921
2,84700,2183
2,84700,433
2,84700,2083
2,84700,192
2,84700,1889
2,84700,193
2,84700,1827
2,84700,1347
2,84700,2092
2,84700,2121
2,84700,191
2,84700,1213
2,47985,1211
2,47985,2141
2,47985,731
2,47985,1356
2,47985,2183
2,47985,433
2,47985,2083
2,47985,192
2,47985,193
2,47985,1347
2,47985,1187
2,38033,1211
2,38033,731
2,38033,1356
2,38033,921
2,38033,2183
2,38033,2083
2,38033,192
2,38033,1889
2,38033,193
2,38033,1827
2,38033,1347
2,38033,1905
2,38033,2092
2,38033,2074
2,1220,1211
2,1220,2141
2,1220,1356
2,1220,921
2,1220,2183
2,1220,433
2,1220,2083
2,1220,192
2,1220,2220
2,1220,193
2,1220,1187
2,1220,2092
2,418,192
2,418,193
2,418,191
2,42639,1211
2,42639,2183
2,42639,433
2,42639,2083
2,42639,1889
2,42639,2220
2,42639,2109
2,42639,1347
2,42639,1905
2,42639,2092
2,42639,2074
2,42639,191
2,26800,1211
2,26800,2141
2,26800,76
2,26800,1356
2,26800,921
2,26800,2183
2,26800,433
2,26800,1889
2,26800,1905
2,26800,1187
2,26800,2074
2,79534,2141
2,79534,76
2,79534,921
2,79534,2183
2,79534,433
2,79534,2083
2,79534,1889
2,79534,193
2,79534,2109
2,79534,1187
2,79534,2092
2,79534,2121
2,82690,2141
2,82690,76
2,82690,921
2,82690,2183
2,82690,433
2,82690,2083
2,82690,1889
2,82690,2220
2,82690,193
2,82690,1827
2,82690,2109
2,82690,2092
2,82690,2121
2,82690,191
2,42196,1213
2,50854,1211
2,50854,2141
2,50854,1356
2,50854,921
2,50854,2183
2,50854,2083
2,50854,1889
2,50854,1187
2,50854,191
2,50854,1213
2,82998,2141
2,82998,76
2,82998,921
2,82998,2183
2,82998,433
2,82998,2083
2,82998,192
2,82998,2220
2,82998,193
2,82998,1827
2,82998,2109
2,82998,2092
2,82998,2074
2,82998,2121
2,82998,191
2,41459,1211
2,41459,2141
2,41459,1356
2,41459,2183
2,41459,433
2,41459,2083
2,41459,2220
2,41459,193
2,41459,2109
2,46722,191
2,7127,2141
2,7127,731
2,7127,76
2,7127,1356
2,7127,921
2,7127,2183
2,7127,433
2,7127,2083
2,7127,192
2,7127,1889
2,7127,2220
2,7127,193
2,7127,1827
2,7127,1347
2,7127,1905
2,7127,2092
2,7127,2074
2,7127,2121
2,7127,191
2,57609,1211
2,48908,2141
2,48908,731
2,48908,1356
2,48908,921
2,48908,2183
2,48908,2083
2,48908,1889
2,48908,193
2,48908,1827
2,48908,2109
2,48908,1347
2,48908,2092
2,48908,2121
2,48908,191
2,48908,1213
2,74321,731
2,74321,1187
2,74321,2121
2,74321,1213
2,50609,1211
2,50609,2141
2,50609,76
2,50609,2183
2,50609,433
2,50609,2109
2,50609,1905
2,50609,2092
2,20254,1211
2,20254,2141
2,20254,731
2,20254,76
2,20254,921
2,20254,2183
2,20254,2083
2,20254,192
2,20254,1889
2,20254,193
2,20254,1827
2,20254,1347
2,20254,2092
2,20254,2074
2,20254,2121
2,20254,191
2,48890,1211
2,3821,2141
2,3821,2109
2,79367,2141
2,79367,76
2,79367,921
2,79367,2183
2,79367,433
2,79367,2083
2,79367,192
2,79367,193
2,79367,2109
2,79367,1187
2,79367,2092
2,79367,2121
2,48407,1211
2,48407,433
2,45525,1211
2,45525,2141
2,45525,731
2,45525,1356
2,45525,921
2,45525,2183
2,45525,2083
2,45525,1889
2,45525,2220
2,45525,193
2,45525,1827
2,45525,1187
2,45525,2092
2,72230,2220
2,72230,1187
2,1490,1211
2,1490,1356
2,1490,921
2,77929,1211
2,77929,2141
2,77929,731
2,77929,1356
2,77929,921
2,77929,2183
2,77929,433
2,77929,192
2,77929,193
2,77929,1347
2,77929,2074
2,77929,2121
2,77929,191
2,37018,2109
2,37018,1347
2,37018,1187
2,62221,2141
2,62221,731
2,62221,76
2,62221,1356
2,62221,921
2,62221,2183
2,62221,2083
2,62221,192
2,62221,1889
2,62221,193
2,62221,1827
2,62221,2109
2,62221,1347
2,62221,1905
2,62221,2092
2,62221,2074
2,62221,2121
2,34480,2141
2,34480,731
2,34480,2220
2,11610,192
2,11610,193
2,11610,191
2,28684,2141
2,28684,76
2,28684,921
2,28684,2183
2,28684,1889
2,28684,1347
2,28684,2092
2,28684,2121
2,28684,1213
2,69426,921
2,74600,1211
2,74600,2141
2,74600,731
2,74600,76
2,74600,433
2,74600,2109
2,74600,2074
2,1209,1211
2,1209,2141
2,1209,2183
2,1209,2109
2,1209,1187
2,1209,1213
2,48013,731
2,48013,2183
2,48013,1827
2,48013,2109
2,48013,1187
2,48013,2121
2,54531,731
2,57195,1211
2,57195,2141
2,57195,731
2,57195,76
2,57195,1356
2,57195,921
2,57195,2183
2,57195,1889
2,57195,2220
2,57195,193
2,57195,2109
2,34562,731
2,34562,76
2,34562,1356
2,34562,921
2,34562,2183
2,34562,1889
2,34562,1347
2,34562,1905
2,34562,2074
2,54482,731
2,54482,1356
2,54482,921
2,19168,76
2,19168,2220
2,27865,2141
2,27865,731
2,27865,76
2,27865,921
2,27865,2083
2,27865,1827
2,27865,2109
2,27865,1905
2,34088,2141
2,34088,731
2,34088,76
2,34088,1356
2,34088,921
2,34088,433
2,34088,2083
2,34088,192
2,34088,1889
2,34088,193
2,34088,1347
2,34088,1905
2,34088,2092
2,34088,2121
2,34088,191
2,34088,1213
2,25594,731
2,25594,1356
2,25594,921
2,25594,2220
2,58377,731
2,58377,76
2,58377,1356
2,58377,921
2,58377,2183
2,58377,2083
2,58377,192
2,58377,1889
2,58377,2220
2,58377,193
2,58377,1347
2,58377,2092
2,58377,2074
2,58377,191
2,52909,1211
2,52909,1827
2,52548,1211
2,52548,1356
2,52548,192
2,52548,1889
2,52548,2220
2,52548,1827
2,40788,1211
2,40788,76
2,40788,2183
2,40788,1889
2,40788,2220
2,40788,1827
2,40788,2109
2,40788,1347
2,40788,1905
